Agent Name,Agent Address,Agent City,FY 20 Net Sales
KOI CHINESE CUISINE AND LOUNGE,901 WASHINGTON STREET,ATTLEBORO,"$99,550.00"
JR'S BAR & GRILL,147 PINE ST,ATTLEBORO,"$104,202.00"
ATTLEBORO SHELL,182 PLEASANT ST,ATTLEBORO,"$104,228.25"
BAY STATE CHECK EXPRESS,1037 WASHINGTON ST,ATTLEBORO,"$116,102.00"
ATTLEBORO MOOSE LODG,241 THACHER ST,ATTLEBORO,"$117,168.50"
BPO ELKS #1014,887 SO MAIN ST,ATTLEBORO,"$122,224.50"
ROUTE ONE GAS,765 WASHINGTON ST,ATTLEBORO,"$146,433.50"
PJMART 3,267 PARK ST,ATTLEBORO,"$165,131.75"
COZY MINI MART,1 NORTH AVE,ATTLEBORO,"$170,956.00"
SINGAPORE CHINESE RESTAURANT,111 PLEASANT STREET,ATTLEBORO,"$194,923.50"
CITY SPIRITS II,524 PLEASANT STREET,ATTLEBORO,"$212,308.50"
LIQUOR MART,15 HIGHLAND AVE,ATTLEBORO,"$234,607.50"
ETC LOUNGE,173 WESTMINSTER ST,ATTLEBORO,"$256,828.50"
COUNTY SQUARE LIQUORS,412 THACHER ST,ATTLEBORO,"$260,418.50"
ATTLEBORO WINE & SPIRITS,74 PARK ST,ATTLEBORO,"$276,790.00"
SPEEDWAY #2433,946 WASHINGTON ST,ATTLEBORO,"$312,842.75"
LIQUOR MART,15 HIGHLAND AVE,ATTLEBORO,"$319,811.75"
TWIN LIQUORS,827 S MAIN ST,ATTLEBORO,"$320,915.75"
SEABRA FOODS,217 SOUTH MAIN ST,ATTLEBORO,"$341,025.00"
CUMBERLAND #0223,220 PLEASANT STREET,ATTLEBORO,"$384,978.50"
STATELINE MART,1124 WASHINGTON ST,ATTLEBORO,"$390,298.00"
MARKET BASKET #76,1200 NEWPORT AVE,ATTLEBORO,"$442,937.50"
PLEASANT ST BAR & GRILL,50 PLEASANT ST,ATTLEBORO,"$457,341.00"
ATTLEBORO CONVENIENCE,850 WASHINGTON STREET,ATTLEBORO,"$464,457.75"
STOP & SHOP #432,467 PLEASANT ST,ATTLEBORO,"$628,794.00"
ROUTE 1 GAS,765 WASHINGTON ST,ATTLEBORO,"$645,445.25"
ELLY CONV STR & SMOKE,185 PLEASANT STREET,ATTLEBORO,"$683,032.25"
